"strain,-","stress,MPa","stress,Pa"
0.2505,1710.1593249657096,1710159324.9657097
0.251,1710.1593249657574,1710159324.9657574
0.2515,1710.1593249658029,1710159324.965803
0.252,1710.1593249658463,1710159324.9658463
0.2525,1710.1593249658872,1710159324.9658873
0.253,1710.1593249659263,1710159324.9659264
0.2535,1710.1593249659636,1710159324.9659636
0.254,1710.159324965999,1710159324.9659991
0.2545,1710.1593249660327,1710159324.9660327
0.255,1710.1593249660648,1710159324.9660647
0.2555,1710.1593249660953,1710159324.9660952
0.256,1710.1593249661241,1710159324.966124
0.2565,1710.1593249661516,1710159324.9661517
0.257,1710.159324966178,1710159324.966178
0.2575,1710.1593249662028,1710159324.9662027
0.258,1710.1593249662267,1710159324.9662266
0.2585,1710.1593249662492,1710159324.9662492
0.259,1710.1593249662706,1710159324.9662704
0.2595,1710.159324966291,1710159324.966291
0.26,1710.1593249663106,1710159324.9663105
0.2605,1710.159324966329,1710159324.966329
0.261,1710.1593249663465,1710159324.9663465
0.2615,1710.1593249663633,1710159324.9663634
0.262,1710.1593249663792,1710159324.9663792
